date,department,revenue,operating_cost,payroll_cost,profit,gross_margin,payroll_ratio,operating_cost_ratio,revenue_mom_change,profit_mom_change
2024-01-01,Engineering,150000,45000,60000,45000,0.30,0.40,0.30,,
2024-01-01,Marketing,80000,25000,30000,25000,0.31,0.38,0.31,,
2024-01-01,Sales,120000,35000,45000,40000,0.33,0.38,0.29,,
2024-01-01,Operations,200000,60000,80000,60000,0.30,0.40,0.30,,
2024-02-01,Engineering,165000,50000,65000,50000,0.30,0.39,0.30,0.10,0.11
2024-02-01,Marketing,90000,28000,32000,30000,0.33,0.36,0.31,0.13,0.20
2024-02-01,Sales,135000,38000,48000,49000,0.36,0.36,0.28,0.13,0.23
2024-02-01,Operations,220000,65000,85000,70000,0.32,0.39,0.30,0.10,0.17
2024-03-01,Engineering,180000,55000,70000,55000,0.31,0.39,0.31,0.09,0.10
2024-03-01,Marketing,95000,29000,34000,32000,0.34,0.36,0.31,0.06,0.07
2024-03-01,Sales,145000,40000,50000,55000,0.38,0.34,0.28,0.07,0.12
2024-03-01,Operations,235000,68000,90000,77000,0.33,0.38,0.29,0.07,0.10
2024-04-01,Engineering,175000,52000,68000,55000,0.31,0.39,0.30,-0.03,0.00
2024-04-01,Marketing,100000,30000,35000,35000,0.35,0.35,0.30,0.05,0.09
2024-04-01,Sales,155000,42000,52000,61000,0.39,0.34,0.27,0.07,0.11
2024-04-01,Operations,250000,70000,95000,85000,0.34,0.38,0.28,0.06,0.10
2024-05-01,Engineering,190000,57000,72000,61000,0.32,0.38,0.30,0.09,0.11
2024-05-01,Marketing,110000,32000,38000,40000,0.36,0.35,0.29,0.10,0.14
2024-05-01,Sales,165000,45000,55000,65000,0.39,0.33,0.27,0.06,0.07
2024-05-01,Operations,265000,75000,100000,90000,0.34,0.38,0.28,0.06,0.06
2024-06-01,Engineering,200000,60000,75000,65000,0.33,0.38,0.30,0.05,0.07
2024-06-01,Marketing,115000,33000,40000,42000,0.37,0.35,0.29,0.05,0.05
2024-06-01,Sales,175000,47000,58000,70000,0.40,0.33,0.27,0.06,0.08
2024-06-01,Operations,280000,80000,105000,95000,0.34,0.38,0.29,0.06,0.06
